"","Subject","Condition","MADLevel1","MADLevel2","MADLevel3","MADLevel4","MADLevel5","MADLevel6","MADLevel7","MADLevel8","MADLevel9","MADLevel10","MADLevel11","MADLevel12"
"1",36,2,253.1875,180.65625,217.09375,137.96875,68.34375,119.4375,86.625,88.84375,111.5,68.25,113.3125,141.5625
"2",37,2,204.375,241.03125,190.59375,148.46875,188.53125,173.75,220.9375,274.90625,166.625,125.53125,223.25,142.75
