"Condition","MADLevel1","MADLevel2","MADLevel3","MADLevel4","MADLevel5","MADLevel6","MADLevel7","MADLevel8","MADLevel9","MADLevel10","MADLevel11","MADLevel12"
1,254.603618421053,214.376644736842,206.995065789474,205.370065789474,192.75,175.1875,177.136513157895,169.09375,146.713815789474,148.029605263158,148.317434210526,142.595394736842
2,244.814144736842,236.78125,242.532894736842,225.402960526316,208.215460526316,204.054276315789,193.565789473684,196.254934210526,184.861842105263,164.965460526316,176.245065789474,157.789473684211
